pt_tau_1_regress,pt_tau_2_regress
160.5695,120.675095
57.781246,54.89839
66.776634,42.251682
108.4764,61.375755
77.200455,62.16945
76.086914,66.5791
110.730576,76.900826
131.65617,73.003654
233.12308,124.5105
57.642105,54.817295
65.706085,59.926685
105.72448,54.34781
143.59857,58.148617
70.04366,53.058613
72.012856,55.727905
123.811165,58.29127
69.81843,60.1363
60.810436,56.85343
73.32954,62.102177
57.259308,52.48329
73.75458,64.852325
119.586296,90.2996
59.35492,53.9349
64.58263,65.426956
60.603638,52.82473
90.2893,74.634285
69.04834,61.29207
103.54989,90.85408
75.10528,70.22665
65.058464,62.205383
77.142914,54.00353
56.879925,55.19596
53.650967,61.656246
77.15436,80.17523
60.904408,60.498943
172.2232,106.618965
87.09009,59.79874
145.96072,126.01857
122.1968,58.693153
93.61916,58.675255
88.21143,81.75841
106.25683,67.14077
121.06548,67.789665
58.028233,57.683678
69.095665,58.613132
77.65971,71.30655
143.9436,64.52418
61.184296,65.395355
60.368664,52.911774
53.584236,53.631603
67.79486,62.26608
76.76182,58.858288
91.61201,83.53574
75.31235,66.15907
59.28117,52.961353
65.65735,68.46374
63.670967,58.131115
59.770016,48.908688
84.130226,67.39407
76.908844,59.538574
52.090557,51.98241
52.443268,50.26314
55.717373,53.517143
52.266735,54.64449
72.51442,73.31067
61.579792,59.987774
84.04092,47.39781
54.808216,43.774273
91.335686,59.436485
90.5338,57.151306
68.16347,56.710255
69.61758,57.505737
54.398643,70.61341
66.337555,56.94036
55.019787,57.274826
64.415054,63.593655
63.133244,67.631096
69.48693,70.09137
136.36543,59.351078
68.72413,56.544678
51.753086,50.95632
82.87432,66.97095
68.096054,51.700817
66.14608,61.310898
82.018654,70.906906
64.95,62.188313
81.95482,62.023964
133.82391,73.48535
64.43364,52.799538
226.9096,187.32675
300.31018,138.73099
85.56328,67.49637
75.76261,50.05736
55.99672,50.25251
176.05925,83.20565
102.193794,53.91701
53.91879,55.306396
83.79894,69.25342
64.54041,58.704533
105.8206,59.182594
132.41821,106.87804
81.496765,74.81812
72.7411,50.9177
78.19164,58.474705
117.77136,84.77128
78.49142,57.655933
73.07762,80.72749
55.24216,55.372513
66.694954,51.698654
133.94357,90.16873
59.866077,58.56936
56.823242,46.021515
89.251656,64.673355
65.78044,63.22037
81.566505,73.931076
71.30589,57.75969
