pt1,pt2,eta1,eta2,phi1,phi2
78.16655,75.20503,0.19250359,0.904868,-2.4591258,-1.3522944
48.13669,49.03053,0.8900983,0.31456926,-3.1225007,0.470565
63.286995,56.328712,-0.6377936,0.23254454,-2.831532,1.3524222
274.11353,167.77776,-0.57371724,-0.19352935,1.0554975,1.393142
69.02815,62.159515,-0.52128327,-0.6927505,-0.38338014,-3.0921807
71.25467,61.75497,-0.9399398,-2.076983,-1.1952406,-0.10310513
77.946556,71.321785,1.2201397,0.7382736,1.2254281,-2.1844351
130.13574,112.68519,-0.93397087,-0.5769255,1.116851,0.22611001
77.200874,76.0006,1.1525278,0.8249736,-0.050766874,-1.8234353
54.46372,49.58986,0.17888722,-0.10216139,-0.1747301,-3.1111386
93.143906,79.05621,1.9259984,1.4111764,2.5025349,-1.7992563
104.679634,57.344048,0.3598888,-0.26197183,-0.6459055,1.1566051
60.702446,61.651604,-1.5388013,-0.7283653,-1.383065,1.4478375
71.59494,53.20618,-0.7115587,-0.61986476,-1.4932265,1.7543744
104.515335,74.47094,-0.43532208,-0.3754653,0.4336273,-1.3462875
183.62425,152.7128,-0.43939105,0.36905178,2.1245694,2.3486903
71.57977,53.98398,0.7224274,-0.16422519,-0.5806915,2.7285247
65.00557,59.646915,-0.9635606,-1.6702224,-0.21425104,2.712275
150.4746,99.543365,1.0088922,1.4054755,-0.30744952,0.2346118
70.25349,61.511856,-1.6990166,-0.78106225,2.50492,-1.5388441
133.78961,67.367714,-1.5553352,-0.7641212,0.6255622,1.3201373
70.01313,71.778786,-0.9616906,-0.6545216,2.5650883,0.25967085
67.30789,71.416214,-1.410015,-1.5782332,-0.24307913,2.5015893
87.28321,64.942566,0.6311952,0.8970346,1.9118078,-0.9768854
57.289337,42.35759,1.7297127,0.46825868,-2.9520874,-0.7695372
61.124725,55.424503,0.7001761,-0.02686275,1.0814117,-1.1472653
66.644196,64.31109,1.2211213,1.1354877,-1.2207665,1.8116783
73.729515,56.693424,0.26178795,0.46425664,-0.43384406,2.453546
121.2865,91.44771,-0.1926588,-0.3885651,1.6077474,2.896536
77.851135,76.66473,-0.85548043,-1.2623796,1.8989861,-0.46005058
91.11296,59.240818,0.9686253,1.4917501,-1.4121752,3.0960138
123.725,91.24593,-0.2979905,0.36237592,0.32836142,-0.47990987
82.142815,57.149597,-1.5803998,-1.989323,-1.997643,1.3915032
75.567085,57.814873,-0.1249197,0.45399293,0.6312428,-2.808449
75.46513,57.709232,0.59629095,0.5771647,0.02266114,-2.8590236
72.64279,64.41575,1.6762842,0.8460185,1.3838422,-1.7926936
77.505295,61.30189,0.6209582,0.28528315,0.5067422,2.36228
57.82302,41.006496,1.9566714,0.8895072,3.045344,-0.021785222
59.159115,55.23009,0.81928575,0.33987013,0.45095435,-2.9202127
70.87997,41.097214,1.7770121,1.1435704,-2.3586576,0.53992593
90.29623,65.74263,0.6872441,0.7981682,-2.8656042,0.6058758
55.523018,50.98209,0.04655967,-0.7404567,0.39902326,-2.5089598
53.560318,53.017254,0.05181715,1.0441463,-2.2054882,1.9266981
58.920353,59.990597,-1.0858591,-0.930828,-1.4587173,1.2169956
71.79689,56.974823,-0.6450023,-0.3165382,-0.36801308,2.4056282
79.8431,53.079212,0.02863637,-0.71247345,2.6401453,0.83243746
60.975212,56.857014,-0.87523293,-1.4952775,0.8696848,-1.3227395
74.64763,46.5224,-0.60583246,-0.016744735,-1.4302988,1.5380633
105.1259,53.061455,0.40416366,0.37036896,-0.39297038,-2.3301024
58.034485,51.50514,0.31889865,0.08152884,2.7297409,-0.88533396
74.69956,58.342525,-0.8404098,-0.8932893,2.3997474,-1.0713848
75.445625,50.355747,-0.34702376,-0.9023476,-2.2682657,0.34113643
74.017395,53.30693,-1.3983735,-0.9569703,-0.60789096,2.2534087
91.87074,61.657078,0.89133275,0.09614436,-0.67289186,-2.3642232
67.20305,56.20959,-1.9466993,-1.761599,0.8118292,-1.6327282
105.585045,70.16309,0.6647921,-0.6196194,-0.2560948,-1.1220305
96.54832,50.954235,0.3339137,0.24193397,0.2908385,2.6077433
143.43698,119.25454,0.22006401,0.50585127,2.1952538,-2.949852
99.87497,61.7963,-0.88956034,-1.512866,2.464821,0.73503315
47.47836,48.60264,0.43292594,0.12799574,-2.7971435,0.39067602
66.18041,56.827103,-0.059186447,-0.26684645,0.24987891,-2.9316885
51.587894,45.39309,-0.16064514,0.84832746,-1.0113487,1.9531089
67.50484,54.653812,1.3829621,0.42113933,0.51085347,-3.0979156
65.33344,68.96721,-1.6726376,-1.5510733,-0.27444103,2.9473848
65.381966,60.574368,0.10257164,-0.45886242,2.3461533,-1.5104095
54.03617,53.173306,1.9820747,1.0290309,-2.7674983,-1.0777199
76.9787,59.98557,1.0869881,1.0143169,2.5467198,-0.97257376
